SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2020,fips,
50,3,6,1,1,Alabama,Autauga County,56145,01001,
50,3,6,1,3,Alabama,Baldwin County,229287,01003,
50,3,6,1,5,Alabama,Barbour County,24589,01005,
50,3,6,1,7,Alabama,Bibb County,22136,01007,
50,3,6,1,9,Alabama,Blount County,57879,01009,
50,3,6,1,11,Alabama,Bullock County,9976,01011,
50,3,6,1,13,Alabama,Butler County,19504,01013,
50,3,6,1,15,Alabama,Calhoun County,113469,01015,
50,3,6,1,17,Alabama,Chambers County,32865,01017,
50,3,6,1,19,Alabama,Cherokee County,26294,01019,
50,3,6,1,21,Alabama,Chilton County,44397,01021,
50,3,6,1,23,Alabama,Choctaw County,12418,01023,
50,3,6,1,25,Alabama,Clarke County,23291,01025,
50,3,6,1,27,Alabama,Clay County,13112,01027,
50,3,6,1,29,Alabama,Cleburne County,14967,01029,
50,3,6,1,31,Alabama,Coffee County,53230,01031,
50,3,6,1,33,Alabama,Colbert County,55411,01033,
50,3,6,1,35,Alabama,Conecuh County,11851,01035,
50,3,6,1,37,Alabama,Coosa County,10650,01037,
50,3,6,1,39,Alabama,Covington County,36930,01039,
50,3,6,1,41,Alabama,Crenshaw County,13681,01041,
50,3,6,1,43,Alabama,Cullman County,84515,01043,
50,3,6,1,45,Alabama,Dale County,48959,01045,
50,3,6,1,47,Alabama,Dallas County,36098,01047,
50,3,6,1,49,Alabama,DeKalb County,71658,01049,
50,3,6,1,51,Alabama,Elmore County,82158,01051,
50,3,6,1,53,Alabama,Escambia County,36281,01053,
50,3,6,1,55,Alabama,Etowah County,102371,01055,
50,3,6,1,57,Alabama,Fayette County,16241,01057,
50,3,6,1,59,Alabama,Franklin County,31507,01059,
50,3,6,1,61,Alabama,Geneva County,26411,01061,
50,3,6,1,63,Alabama,Greene County,7990,01063,
50,3,6,1,65,Alabama,Hale County,14670,01065,
50,3,6,1,67,Alabama,Henry County,17223,01067,
50,3,6,1,69,Alabama,Houston County,106580,01069,
50,3,6,1,71,Alabama,Jackson County,51582,01071,
50,3,6,1,73,Alabama,Jefferson County,655342,01073,
50,3,6,1,75,Alabama,Lamar County,13764,01075,
50,3,6,1,77,Alabama,Lauderdale County,93368,01077,
50,3,6,1,79,Alabama,Lawrence County,32857,01079,
50,3,6,1,81,Alabama,Lee County,166831,01081,
50,3,6,1,83,Alabama,Limestone County,102228,01083,
50,3,6,1,85,Alabama,Lowndes County,9641,01085,
50,3,6,1,87,Alabama,Macon County,17895,01087,
50,3,6,1,89,Alabama,Madison County,379453,01089,
50,3,6,1,91,Alabama,Marengo County,18733,01091,
50,3,6,1,93,Alabama,Marion County,29703,01093,
50,3,6,1,95,Alabama,Marshall County,96990,01095,
50,3,6,1,97,Alabama,Mobile County,412716,01097,
50,3,6,1,99,Alabama,Monroe County,20459,01099,
50,3,6,1,101,Alabama,Montgomery County,224639,01101,
50,3,6,1,103,Alabama,Morgan County,119883,01103,
50,3,6,1,105,Alabama,Perry County,8687,01105,
50,3,6,1,107,Alabama,Pickens County,19793,01107,
50,3,6,1,109,Alabama,Pike County,32966,01109,
50,3,6,1,111,Alabama,Randolph County,22920,01111,
50,3,6,1,113,Alabama,Russell County,58237,01113,
50,3,6,1,115,Alabama,St. Clair County,90739,01115,
50,3,6,1,117,Alabama,Shelby County,221428,01117,
50,3,6,1,119,Alabama,Sumter County,12225,01119,
50,3,6,1,121,Alabama,Talladega County,79985,01121,
50,3,6,1,123,Alabama,Tallapoosa County,40133,01123,
50,3,6,1,125,Alabama,Tuscaloosa County,210758,01125,
50,3,6,1,127,Alabama,Walker County,63143,01127,
50,3,6,1,129,Alabama,Washington County,15976,01129,
50,3,6,1,131,Alabama,Wilcox County,10206,01131,
